date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:50:47	337796/337796	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2011:54:05%20GMT	https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/tempat-menarik-di-kundasang-ranau/index.html	(from )
01:50:47	140/140	---MCZ	200	added ('OK')	text/plain	etag:W/%225de8ff8d-e7%22	https://www.maisinggah.com/robots.txt		(from )
01:50:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2017:50:47%20GMT	https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/i	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/tempat-menarik-di-kundasang-ranau/i	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:48	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%22673a91e1-1c012%22	https://www.maisinggah.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-includes/css/dist/block-library/style.min9704.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:48	246/246	---MCZ	200	added ('OK')	text/css	etag:W/%226756cb00-f6%22	https://www.maisinggah.com/wp-content/cache/min/1/wp-content/plugins/ultimate-blocks/src/extensions/style.css?ver=1733741312	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-content/cache/min/1/wp-content/plugins/ultimate-blocks/src/extensions/stylef1ec.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:48	36880/36880	---MCZ	200	added ('OK')	text/css	etag:W/%226756cb00-9010%22	https://www.maisinggah.com/wp-content/cache/min/1/wp-content/plugins/td-composer/td-multi-purpose/style.css?ver=1733741312	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-content/cache/min/1/wp-content/plugins/td-composer/td-multi-purpose/stylef1ec.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:48	17822/17822	---MCZ	200	added ('OK')	text/css	etag:W/%226756cb00-459e%22	https://www.maisinggah.com/wp-content/cache/min/1/npm/swiper@9/swiper-bundle.min.css?ver=1733741312	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-content/cache/min/1/npm/swiper@9/swiper-bundle.minf1ec.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:49	8478/8478	---MCZ	200	added ('OK')	text/css	etag:W/%2267466c3f-211e%22	https://www.maisinggah.com/wp-content/tablepress-combined.min.css?ver=63	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-content/tablepress-combined.minc2ce.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:49	115217/115217	---MCZ	200	added ('OK')	text/css	etag:W/%226756cb00-1c211%22	https://www.maisinggah.com/wp-content/cache/min/1/wp-content/themes/Newspaper/style.css?ver=1733741312	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-content/cache/min/1/wp-content/themes/Newspaper/stylef1ec.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:50	188919/188919	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2017:50:49%20GMT	https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/Firefox/	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/tempat-menarik-di-kundasang-ranau/Firefox/index.html	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
01:50:50	142294/142294	---MCZ	200	added ('OK')	text/css	etag:W/%226756cb00-22bd6%22	https://www.maisinggah.com/wp-content/cache/min/1/wp-content/plugins/td-composer/legacy/Newspaper/assets/css/td_legacy_main.css?ver=1733741312	C:/My%20Web%20Sites/46%20Tempat%20Menarik%20Di%20Kundasang%20&%20Ranau%20(2024)%20_%20Percutian%20Dingin%20Yang%20Menyeronokkan/www.maisinggah.com/wp-content/cache/min/1/wp-content/plugins/td-composer/legacy/Newspaper/assets/css/td_legacy_mainf1ec.css	(from https://www.maisinggah.com/tempat-menarik-di-kundasang-ranau/)
