date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:27	71/71	---M-Z	200	added ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2016:59:16%20GMT	https://www.iloveborneo.my/robots.txt		(from )
01:58:28	117200/117200	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2017:58:27%20GMT	https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/index.html	(from )
01:58:28	87553/87553	---MCZ	200	added ('OK')	text/javascript	etag:W/%2215601-659df795-fbc1b;br%22	https://www.iloveborneo.my/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.iloveborneo.my/wp-includes/js/jquery/jquery.min.js	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Dec%202024%2017:58:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.googletagmanager.com/gtm.15445.delayed	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:29	12640/12640	---M-Z	200	added ('OK')	application/javascript	etag:%223160-62592f2124340-gzip%22	https://cdn.innity.net/admanager.js	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/cdn.innity.net/admanager.js	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:30	1414/1414	---M--	200	added ('OK')	image/png	etag:%22586-642acb49-4f79b7;;;%22	https://www.iloveborneo.my/wp-content/uploads/2018/07/cropped-iloveborneo-square-3-32x32.png	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.iloveborneo.my/wp-content/uploads/2018/07/cropped-iloveborneo-square-3-32x32.png	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:31	7389/7389	---M--	200	added ('OK')	image/png	etag:%221cdd-642acb48-4f79b3;;;%22	https://www.iloveborneo.my/wp-content/uploads/2018/07/cropped-iloveborneo-square-3-192x192.png	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.iloveborneo.my/wp-content/uploads/2018/07/cropped-iloveborneo-square-3-192x192.png	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:31	6740/6740	---M--	200	added ('OK')	image/png	etag:%221a54-642acb49-4f79b5;;;%22	https://www.iloveborneo.my/wp-content/uploads/2018/07/cropped-iloveborneo-square-3-180x180.png	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.iloveborneo.my/wp-content/uploads/2018/07/cropped-iloveborneo-square-3-180x180.png	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:41	1200996/1200996	---M-Z	200	added ('OK')	application/javascript	etag:%2285ea2928b1b64aa74fbbb1c4572cae7f%22	http://cdn.taboola.com/libtrc/iloveborneo/loader.js	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/cdn.taboola.com/libtrc/iloveborneo/loader.js	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
01:58:42	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2009%20Dec%202024%2017:58:31%20GMT	https://www.iloveborneo.my/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/Ala-Ala%20New%20Zealand,%20Ladang%20Tenusu%20Desa%20Cattle%20Kundasang%20Jadi%20Tarikan%20Pelancong/www.iloveborneo.my/cdn-cgi/zaraz/s.7d0d9.delayed	(from https://www.iloveborneo.my/ladang-tenusu-desa-cattle-kundasang-pelancong/)
